	
S	O
A	O
medically	O
important	O
event	O
that	O
may	O
be	O
life-threatening	O
or	O
result	O
in	O
death	B
or	O
hospitalization	O
or	O
prolongation	O
of	O
existing	O
hospitalization	O
.	O
	
Tuberculosis	B
and	O
herpes	B
infections	I
were	O
reported	O
more	O
frequently	O
in	O
patients	O
receiving	O
NULOJIX	O
than	O
cyclosporine	O
.	O
	
5.4	O
Bacterial	O
Infections	O
Prolonged	O
use	O
of	O
corticosteroids	O
may	O
suppress	B
the	I
host	I
response	I
and	O
thus	O
increase	O
the	O
hazard	O
of	O
secondary	B
ocular	I
infections	I
.	O
	
Orthostatic	B
hypotension	I
was	O
reported	O
in	O
5	O
%	O
of	O
patients	O
given	O
20	O
to	O
24	O
mg/day	O
,	O
3	O
%	O
of	O
patients	O
given	O
10	O
to	O
16	O
mg/day	O
,	O
and	O
1	O
%	O
of	O
patients	O
given	O
placebo	O
.	O
	
In	O
this	O
study	O
13	O
patients	O
experienced	O
bone	B
fractures	I
for	O
treatment	O
durations	O
up	O
to	O
104	O
weeks	O
.	O
	
The	O
rate	O
of	O
withdrawals	O
due	O
to	O
adverse	O
events	O
in	O
placebo-controlled	O
monotherapy	O
and	O
combination	O
therapy	O
trials	O
was	O
2.4	O
%	O
(	O
19/801	O
)	O
for	O
placebo	O
,	O
2.2	O
%	O
(	O
24/1072	O
)	O
for	O
Edarbi	O
40	O
mg	O
,	O
and	O
2.7	O
%	O
(	O
29/1074	O
)	O
for	O
Edarbi	O
80	O
mg	O
.	O
	
nasopharyngitis	B
,	O
laryngitis	B
,	O
viral	B
infection	I
)	O
in	O
20	O
%	O
of	O
CIMZIA-treated	O
patients	O
and	O
13	O
%	O
of	O
placebo-treated	O
patients	O
,	O
urinary	B
tract	I
infections	I
(	O
e.g	O
.	O
	
Abrupt	O
discontinuation	O
or	O
dose	O
reduction	O
has	O
been	O
associated	O
with	O
the	O
appearance	O
of	O
new	O
symptoms	O
that	O
include	O
dizziness	B
,	O
nausea	B
,	O
headache	B
,	O
irritability	B
