	
of	O
at	O
least	O
Moderate	O
IntensityIntensities	O
are	O
defined	O
as	O
follows	O
:	O
Moderate	O
(	O
discomfort	O
enough	O
to	O
cause	O
interference	O
with	O
usual	O
activity	O
)	O
;	O
Severe	O
(	O
incapacitating	O
with	O
inability	O
to	O
work	O
or	O
do	O
usual	O
activity	O
)	O
.	O
	
Monitor	O
liver	O
function	O
tests	O
before	O
treatment	O
and	O
before	O
the	O
start	O
of	O
each	O
cycle	O
.	O
	
Errors	O
may	O
also	O
occur	O
due	O
to	O
motion	O
artifacts	O
that	O
result	O
in	O
image	O
distortion	O
.	O
	
Diarrhea	B
due	O
to	O
Zydelig	O
responds	O
poorly	O
to	O
antimotility	O
agents	O
.	O
	
Interrupt	O
Ferriprox	O
therapy	O
if	O
neutropenia	O
develops	O
(	O
ANC	O
<	O
1.5	O
x	O
10	O
9	O
/L	O
)	O
.	O
	
These	O
include	O
cases	O
of	O
Stevens-Johnson	B
syndrome	I
,	O
toxic	B
epidermal	I
necrolysis	I
and	O
erythema	B
multiforme	I
.	O
	
In	O
addition	O
,	O
patients	O
should	O
be	O
observed	O
for	O
signs	O
and	O
symptoms	O
of	O
adrenal	O
insufficiency	O
,	O
such	O
as	O
fatigue	O
,	O
lassitude	O
,	O
weakness	O
,	O
nausea	O
and	O
vomiting	O
,	O
and	O
hypotension	O
.	O
	
Subject-years	O
is	O
defined	O
as	O
cumulative	O
number	O
of	O
days	O
from	O
first	O
drug	O
intake	O
to	O
event	O
date	O
,	O
date	O
of	O
last	O
drug	O
intake	O
+	O
2	O
,	O
death	O
date	O
(	O
whatever	O
occurred	O
first	O
)	O
across	O
all	O
treated	O
subjects	O
divided	O
by	O
365.25	O
.	O
	
Febrile	B
neutropenia	I
has	O
been	O
reported	O
with	O
treatment	O
with	O
ADCETRIS	O
.	O
	
Patients	O
received	O
placebo	O
(	O
N=1393	O
)	O
,	O
FARXIGA	O
5	O
mg	O
(	O
N=1145	O
)	O
,	O
or	O
FARXIGA	O
10	O
mg	O
(	O
N=1193	O
)	O
once	O
daily	O
.	O
	
c	O
Includes	O
:	O
injection	B
site	I
pain	I
,	O
penile	B
pain	I
,	O
and	O
injection	B
site	I
discomfort	I
.	O
	
5.5	O
Tumor	O
Lysis	O
Syndrome	O
Patients	O
with	O
rapidly	O
proliferating	O
tumor	O
and	O
high	O
tumor	O
burden	O
may	O
be	O
at	O
increased	O
risk	O
of	O
tumor	B
lysis	I
syndrome	I
.	O
	
At	O
one	O
year	O
after	O
transplantation	O
these	O
values	O
were	O
183	O
mg/dL	O
,	O
50	O
mg/dL	O
,	O
102	O
mg/dL	O
,	O
and	O
151	O
mg/dL	O
,	O
respectively	O
,	O
in	O
401	O
patients	O
treated	O
with	O
the	O
NULOJIX	O
recommended	O
regimen	O
and	O
196	O
mg/dL	O
,	O
48	O
mg/dL	O
,	O
108	O
mg/dL	O
,	O
and	O
195	O
mg/dL	O
,	O
respectively	O
,	O
in	O
405	O
patients	O
treated	O
with	O
the	O
cyclosporine	O
control	O
regimen	O
.	O
	
Follow	O
instructions	O
for	O
preparation	O
(	O
including	O
admixing	O
)	O
and	O
administration	O
strictly	O
to	O
minimize	O
medication	O
errors	O
(	O
including	O
underdose	O
and	O
overdose	O
)	O
[	O
see	O
Dosage	O
and	O
Administration	O
(	O
2.2	O
)	O
and	O
(	O
2.4	O
)	O
]	O
.	O
	
Discontinue	O
BREO	O
ELLIPTA	O
if	O
such	O
reactions	O
occur	O
.	O
	
Anyone	O
considering	O
prescribing	O
ONFI	O
or	O
any	O
other	O
AED	O
must	O
balance	O
the	O
risk	O
of	O
suicidal	O
thoughts	O
or	O
behavior	O
with	O
the	O
risk	O
of	O
untreated	O
illness	O
.	O
	
The	O
treatment	O
emergent	O
adverse	O
events	O
leading	O
to	O
discontinuation	O
of	O
at	O
least	O
2	O
patients	O
treated	O
with	O
AMPYRA	O
and	O
that	O
led	O
to	O
discontinuation	O
more	O
frequently	O
compared	O
to	O
placebo	O
were	O
headache	B
(	O
AMPYRA	O
0.5	O
%	O
,	O
placebo	O
0	O
%	O
)	O
,	O
balance	B
disorder	I
(	O
AMPYRA	O
0.5	O
%	O
,	O
placebo	O
0	O
%	O
)	O
,	O
dizziness	B
(	O
AMPYRA	O
0.5	O
%	O
,	O
placebo	O
0	O
%	O
)	O
,	O
and	O
confusional	B
state	I
(	O
AMPYRA	O
0.3	O
%	O
,	O
placebo	O
0	O
%	O
)	O
.	O
	
These	O
were	O
commonly	O
dyspepsia	B
(	O
including	O
abdominal	B
pain	I
upper	I
,	O
abdominal	B
pain	I
,	O
abdominal	B
discomfort	I
,	O
and	O
epigastric	B
discomfort	I
)	O
and	O
gastritis-like	O
symptoms	O
(	O
including	O
GERD	B
,	O
esophagitis	B
,	O
erosive	B
gastritis	I
,	O
gastric	B
hemorrhage	I
,	O
hemorrhagic	B
gastritis	I
,	O
hemorrhagic	B
erosive	I
gastritis	I
,	O
and	O
gastrointestinal	B
ulcer	I
)	O
.	O
	
Based	O
on	O
the	O
severity	O
of	O
the	O
adverse	O
drug	O
reaction	O
,	O
withhold	O
ZYKADIA	O
with	O
resumption	O
at	O
a	O
reduced	O
dose	O
as	O
described	O
in	O
Table	O
1	O
[	O
see	O
Dosage	O
and	O
Administration	O
(	O
2.2	O
)	O
and	O
Adverse	O
Reactions	O
(	O
6	O
)	O
]	O
.	O
	
Patients	O
with	O
alanine	O
aminotransferase	O
or	O
aspartate	O
aminotransferase	O
>	O
3	O
*	O
ULN	O
(	O
upper	O
limit	O
of	O
normal	O
)	O
experienced	O
a	O
higher	O
incidence	O
of	O
Grade	O
4	O
neutropenia	B
and	O
febrile	B
neutropenia	I
than	O
patients	O
with	O
normal	O
aminotransferase	O
levels	O
.	O
	
Among	O
patients	O
in	O
Study	O
3	O
who	O
reported	O
no	O
prior	O
exposure	O
to	O
XIAFLEX	O
,	O
97	O
%	O
of	O
patients	O
had	O
antibodies	O
against	O
AUX-I	O
and	O
AUX-II	O
after	O
two	O
concurrent	O
doses	O
of	O
XIAFLEX	O
0.58	O
mg	O
(	O
total	O
dose	O
of	O
1.16	O
mg	O
)	O
in	O
the	O
same	O
hand	O
.	O
	
ADVERSE	O
REACTIONS	O
The	O
following	O
serious	O
adverse	O
reactions	O
are	O
described	O
in	O
greater	O
detail	O
in	O
the	O
Warnings	O
and	O
Precautions	O
section	O
*	O
Hypersensitivity	B
Reactions	I
[	O
see	O
Warnings	O
and	O
Precautions	O
(	O
5.1	O
)	O
]	O
*	O
Clostridium	B
difficile	I
-Associated	I
diarrhea	I
[	O
see	O
Warnings	O
and	O
Precautions	O
(	O
5.2	O
)	O
]	O
*	O
Direct	B
Coombs	I
'	I
Test	I
Seroconversion	I
[	O
see	O
Warnings	O
and	O
Precautions	O
(	O
5.3	O
)	O
]	O
EXCERPT	O
:	O
The	O
most	O
common	O
adverse	O
reactions	O
occurring	O
in	O
>	O
2	O
%	O
of	O
patients	O
are	O
diarrhea	B
,	O
nausea	B
,	O
and	O
rash	B
.	O
	
In	O
other	O
XIAFLEX-treated	O
patients	O
(	O
9	O
of	O
1044	O
;	O
0.9	O
%	O
)	O
,	O
a	O
combination	O
of	O
penile	B
ecchymoses	I
,	O
sudden	O
penile	B
detumescence	I
,	O
and/or	O
a	O
penile	B
``	O
popping	B
''	O
sound	B
was	O
reported	O
,	O
and	O
in	O
these	O
cases	O
,	O
a	O
diagnosis	O
of	O
corporal	B
rupture	I
can	O
not	O
be	O
excluded	O
.	O
	
The	O
most	O
common	O
laboratory	O
abnormalities	O
(	O
>	O
20	O
%	O
)	O
reported	O
in	O
the	O
two	O
randomized	O
clinical	O
trials	O
that	O
occurred	O
more	O
commonly	O
(	O
>	O
=2	O
%	O
)	O
in	O
the	O
abiraterone	O
acetate	O
arm	O
were	O
anemia	B
,	O
elevated	B
alkaline	I
phosphatase	I
,	O
hypertriglyceridemia	B
,	O
lymphopenia	B
,	O
hypercholesterolemia	B
,	O
hyperglycemia	B
,	O
elevated	B
AST	I
,	O
hypophosphatemia	B
,	O
elevated	B
ALT	I
and	O
hypokalemia	B
.	O
	
Thirty-nine	O
subjects	O
(	O
35	O
%	O
)	O
had	O
dose	O
interruptions	O
and	O
sixteen	O
subjects	O
(	O
15	O
%	O
)	O
had	O
dose	O
reductions	O
due	O
to	O
adverse	O
reactions	O
or	O
laboratory	O
abnormalities	O
.	O
	
The	O
information	O
below	O
is	O
derived	O
from	O
a	O
clinical	O
trial	O
database	O
for	O
FANAPT	O
consisting	O
of	O
2070	O
patients	O
exposed	O
to	O
FANAPT	O
at	O
doses	O
of	O
10	O
mg/day	O
or	O
greater	O
,	O
for	O
the	O
treatment	O
of	O
schizophrenia	O
.	O
	
6	O
ADVERSE	O
REACTIONS	O
EXCERPT	O
:	O
*	O
The	O
most	O
common	O
adverse	O
reactions	O
are	O
(	O
incidence	O
>	O
=	O
5	O
%	O
)	O
chromaturia	B
,	O
nausea	B
,	O
vomiting	B
and	O
abdominal	B
pain	I
,	O
alanine	B
aminotransferase	I
increased	I
,	O
arthralgia	B
and	O
neutropenia	B
.	O
	
Comparisons	O
between	O
placebo	O
and	O
SIMPONI	O
ARIA	O
were	O
based	O
on	O
the	O
first	O
24	O
weeks	O
of	O
exposure	O
.	O
	
Controlled	O
Studies	O
with	O
Rheumatoid	O
Arthritis	O
CIMZIA	O
was	O
studied	O
primarily	O
in	O
placebo-controlled	O
trials	O
and	O
in	O
long-term	O
follow-up	O
studies	O
.	O
	
POTIGA	O
was	O
discontinued	O
in	O
3	O
of	O
the	O
5	O
patients	O
who	O
required	O
catheterization	O
,	O
and	O
all	O
were	O
able	O
to	O
void	O
spontaneously	O
;	O
however	O
,	O
1	O
of	O
the	O
3	O
patients	O
continued	O
intermittent	O
self-catheterization	O
.	O
	
Across	O
these	O
13	O
studies	O
,	O
2360	O
patients	O
were	O
treated	O
once	O
daily	O
with	O
FARXIGA	O
10	O
mg	O
for	O
a	O
mean	O
duration	O
of	O
exposure	O
of	O
22	O
weeks	O
.	O
	
Table	O
1	O
:	O
Change	O
in	O
Fasting	O
Glucose	O
FANAPT	O
Placebo	O
24	O
mg/day	O
Mean	O
Change	O
from	O
Baseline	O
(	O
mg/dL	O
)	O
n=114	O
n=228	O
Serum	O
Glucose	O
Change	O
from	O
Baseline	O
-0.5	O
6.6	O
Proportion	O
of	O
Patients	O
with	O
Shifts	O
Serum	O
Glucose	O
Normal	O
to	O
High	O
2.5	O
%	O
10.7	O
%	O
(	O
<	O
100	O
mg/dL	O
to	O
>	O
=126	O
mg/dL	O
)	O
(	O
2/80	O
)	O
(	O
18/169	O
)	O
Pooled	O
analyses	O
of	O
glucose	O
data	O
from	O
clinical	O
studies	O
including	O
longer	O
term	O
trials	O
are	O
shown	O
in	O
Table	O
2	O
.	O
	
Serious	O
adverse	O
reactions	O
were	O
reported	O
in	O
54	O
(	O
49	O
%	O
)	O
subjects	O
treated	O
with	O
Zydelig	O
+	O
rituximab	O
.	O
	
*	O
Palmar-plantar	B
Erythrodysesthesia	I
